buffer_ahead_s,duration_s,ended,epoch_ms,media_time_s,network_state,paused,perf_ms,playback_rate,ready_state,seeking,type
0,,False,1784061366564.4001,0,2,True,3870,1,0,False,loadstart
0,,False,1784061366596.3,0,2,False,3902,1,0,False,play
0,,False,1784061366596.3,0,2,False,3902,1,0,False,waiting
0,8607.359999999766,False,1784061373388.7,0,2,False,10694.400000095367,1,1,False,loadedmetadata
3.002999,8607.359999999766,False,1784061373439.9001,0,2,False,10745.599999904633,1,4,False,loadeddata
3.002999,8607.359999999766,False,1784061373439.9001,0,2,False,10745.599999904633,1,4,False,canplay
3.002999,8607.359999999766,False,1784061373440.4001,0,2,False,10746.099999904633,1,4,False,playing
0.08017999999999992,8607.359999999766,False,1784061376431.9001,2.922819,2,False,13737.599999904633,1,2,False,waiting
3.001917,8607.359999999766,False,1784061377145.7,3.004082,2,False,14451.400000095367,1,4,False,canplay
3.001917,8607.359999999766,False,1784061377146.1,3.004082,2,False,14451.799999713898,1,4,False,playing
0.07653100000000013,8607.359999999766,False,1784061380149.8,5.929468,2,False,17455.5,1,2,False,waiting
2.9994749999999994,8607.359999999766,False,1784061381522.8,6.009524,2,False,18828.5,1,4,False,canplay
2.9994749999999994,8607.359999999766,False,1784061381523,6.009524,2,False,18828.699999809265,1,4,False,playing
0.07889999999999908,8607.359999999766,False,1784061384533.1,8.930099,2,False,21838.799999713898,1,2,False,waiting
2.997033,8607.359999999766,False,1784061385642,9.014966,2,False,22947.699999809265,1,4,False,canplay
2.997033,8607.359999999766,False,1784061385642.1,9.014966,2,False,22947.799999713898,1,4,False,playing
0.07132599999999911,8607.359999999766,False,1784061388648.5,11.940673,2,False,25954.199999809265,1,2,False,waiting
5.9869330000000005,8607.359999999766,False,1784061392970,12.031066,2,False,30275.699999809265,1,4,False,canplay
5.9869330000000005,8607.359999999766,False,1784061392970.1,12.031066,2,False,30275.799999713898,1,4,False,playing
0.0775289999999984,8607.359999999766,False,1784061401972.6,20.94347,2,False,39278.2999997139,1,2,False,waiting
2.997921999999999,8607.359999999766,False,1784061402802.5,21.026077,2,False,40108.199999809265,1,4,False,canplay
2.997921999999999,8607.359999999766,False,1784061402802.5,21.026077,2,False,40108.199999809265,1,4,False,playing
0.08554799999999929,8607.359999999766,False,1784061405794.9001,23.938451,2,False,43100.59999990463,1,2,False,waiting
5.998480000000001,8607.359999999766,False,1784061411666.1,24.031519,2,False,48971.7999997139,1,4,False,canplay
5.998480000000001,8607.359999999766,False,1784061411666.2,24.031519,2,False,48971.90000009537,1,4,False,playing
