t_s,option,cwnd_mult,cwnd,avg_thr_mbps,avg_urtt_ms,srtt_ms,min_rtt_ms,loss_ratio,reward,kalman_rtt_ms,act_mu,act_sig,agent_id,fair_bw_mbps,active_flows,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1.007,0,0.997,1020,0.000,0.000,0.000,0.000,0.0,0.0000,20.000,0.0023,1.0000,0,10.000,2,1.00000,0.00000,0.75267,0.00000,1.00000,0.00098,0.00000,0.00000,0.00000,0.00001,0.20000
1.227,0,1.009,1033,0.000,20.000,2.500,20.000,0.0,0.0000,20.000,0.0041,0.9996,0,10.000,2,0.00000,0.20000,0.75267,0.00000,1.00000,0.00098,1.00000,0.00000,0.00000,0.02500,0.20000
1.237,0,0.977,1009,0.400,20.000,4.688,20.000,0.0,1.0000,20.000,0.0026,1.0000,0,10.000,2,0.00879,0.20000,0.75362,0.12100,1.00000,0.00097,0.00000,0.00000,0.00500,0.04688,0.20000
1.239,0,0.987,1010,0.400,21.000,6.727,20.000,0.0,0.9080,20.010,0.0016,1.0000,0,10.000,2,-0.00871,0.21000,0.75267,0.22914,1.00000,0.00098,0.05000,0.00000,0.00501,0.06727,0.20010
1.241,0,1.001,1026,0.400,20.000,8.386,20.000,0.0,1.0011,20.000,0.0022,0.9985,0,10.000,2,0.00000,0.20000,0.75267,0.32881,1.00000,0.00098,-0.04762,0.00000,0.00501,0.08386,0.20000
1.243,0,1.017,1044,0.400,21.000,9.963,20.000,0.0,0.9080,20.001,0.0027,0.9990,0,10.000,2,0.00195,0.21000,0.75288,0.40912,1.00000,0.00097,0.05000,0.00000,0.00501,0.09963,0.20001
1.246,0,0.981,1025,0.400,20.000,11.217,20.000,0.0,1.0011,20.000,0.0039,0.9984,0,10.000,2,0.01852,0.20000,0.75487,0.47721,1.00000,0.00096,-0.04762,0.00000,0.00501,0.11217,0.20000
1.247,0,1.012,1038,0.400,21.000,12.440,20.000,0.0,0.9080,20.000,0.0017,1.0000,0,10.000,2,-0.01914,0.21000,0.75278,0.54779,1.00000,0.00098,0.05000,0.00000,0.00501,0.12440,0.20000
1.249,0,1.021,1060,0.400,20.000,13.385,20.000,0.0,1.0011,20.000,0.0037,0.9997,0,10.000,2,0.01268,0.20000,0.75415,0.59990,1.00000,0.00096,-0.04762,0.00000,0.00501,0.13385,0.20000
1.251,0,0.978,1037,0.400,21.000,14.337,20.000,0.0,0.9080,20.000,0.0008,1.0000,0,10.000,2,0.02216,0.21000,0.75652,0.63148,1.00000,0.00094,0.05000,0.00000,0.00501,0.14337,0.20000
1.254,0,0.987,1023,0.400,20.000,15.045,20.000,0.0,1.0011,20.000,0.0027,1.0000,0,10.000,2,-0.02262,0.20000,0.75404,0.69204,1.00000,0.00096,-0.04762,0.00000,0.00501,0.15045,0.20000
1.256,0,0.979,1002,0.400,21.000,15.789,20.000,0.0,0.9080,20.000,0.0063,0.9986,0,10.000,2,-0.01254,0.21000,0.75267,0.73543,1.00000,0.00098,0.05000,0.00000,0.00501,0.15789,0.20000
1.258,0,1.023,1048,0.400,20.000,16.316,20.000,0.0,1.0011,20.000,0.0042,1.0000,0,10.000,2,0.00000,0.20000,0.75267,0.77182,1.00000,0.00098,-0.04762,0.00000,0.00501,0.16316,0.20000
