buffer_ahead_s,duration_s,ended,epoch_ms,media_time_s,network_state,paused,perf_ms,playback_rate,ready_state,seeking,type
0,,False,1784061250680,0,2,True,3517.7999997138977,1,0,False,loadstart
0,,False,1784061250711,0,2,False,3548.7999997138977,1,0,False,play
0,,False,1784061250711.0999,0,2,False,3548.8999996185303,1,0,False,waiting
0,8607.359999999766,False,1784061252463.2,0,2,False,5301,1,1,False,loadedmetadata
3.002999,8607.359999999766,False,1784061252521.5,0,2,False,5359.299999713898,1,4,False,loadeddata
3.002999,8607.359999999766,False,1784061252521.5999,0,2,False,5359.39999961853,1,4,False,canplay
3.002999,8607.359999999766,False,1784061252521.9,0,2,False,5359.699999809265,1,4,False,playing
